"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Rank1"
"140981"	2.21363680053392	-1.65282703772774	0.565885998085049	-2.9207774062636	0.00349159195979729	0.0246233137338748	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"19398"	1.89612919882233	-2.27116425148163	0.645453298556465	-3.51871197584862	0.000433647225903871	0.00592253850097115	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"713994"	18.860372851489	1.91007223116323	0.730211722907242	2.61577864507369	0.00890242498281679	0.049945310909978	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Cryomorphaceae"	"Fluviicola"	NA	NA
"317388"	35.2756125644947	2.67659857875334	0.497046466195338	5.38500675649396	7.24419271413007e-08	9.79173381859914e-06	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"585648"	4.39120238821087	-1.5391053184095	0.543562292301197	-2.83151598300467	0.00463279181379019	0.03029995291116	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	NA	NA	NA
"162765"	11.8429585372166	1.5063742816912	0.577573132128024	2.60811003472596	0.00910436828868514	0.049945310909978	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Cryomorphaceae"	"Crocinitomix"	NA	NA
"591923"	14.4142659402335	-1.65736673725858	0.512620766111514	-3.23312445929676	0.00122444205338378	0.0124127813161781	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"707147"	2.26879309180616	-1.72188914893992	0.551745377291403	-3.12080394292185	0.00180358067602861	0.0157279992285936	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"95362"	37.4051033693118	1.74184482073913	0.466495639540974	3.73389303799942	0.000188542591795863	0.00355600097549872	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"565301"	7.39383738389819	-2.1175033254399	0.653337864150581	-3.24105404206583	0.00119088605048554	0.012225425151187	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Marinobacter"	NA	NA
"1120180"	4.87733904113434	2.25729993714131	0.507251705849395	4.45005883885881	8.58467665890338e-06	0.000435135798148165	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"261043"	4.91588076680508	1.4634929872626	0.527694967866678	2.77336923105235	0.00554791330041955	0.035151231926877	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Amphritea"	NA	NA
"591722"	9.05289994274928	-2.34467009106812	0.744074637250482	-3.15112217738289	0.0016264443908235	0.0150340822523152	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	"Halomonas"	NA	NA
"541771"	119.580315432014	1.99854093913619	0.500682029984152	3.99163704596996	6.56187497626284e-05	0.00161263048659066	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Phaeobacter"	NA	NA
"830290"	538.056287103555	-2.2460627181056	0.424218731255304	-5.29458638344252	1.19286091971133e-07	1.38201457983698e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"81397"	188.392430520721	2.60303732962251	0.56697200365959	4.59112145365359	4.40870678092802e-06	0.000325041927212057	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	"irgensii"	NA
"716855"	17.2418801993353	1.71753378946108	0.571825522339545	3.00359764012285	0.00266807920716705	0.020607735590595	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Phaeobacter"	NA	NA
"4392535"	26.6983056252036	-2.02125572977601	0.64637835513513	-3.12704736122151	0.0017657148033545	0.0157279992285936	"Bacteria"	"Tenericutes"	"Mollicutes"	"Mycoplasmatales"	"Mycoplasmataceae"	NA	NA	NA
"4392530"	156.76026693228	1.22057830102942	0.449282505848712	2.71672786084492	0.00659307942335224	0.0402029128747268	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	NA	NA	NA
"292328"	52.1117680875821	1.72089319390235	0.520762478342237	3.30456449047661	0.000951240880971429	0.0106793751399705	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"205076"	2.57975549132865	-1.73542942741921	0.599253112261492	-2.89598734142566	0.00377967646163652	0.0259772678846374	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Glaciecola"	NA	NA
"1113297"	4.65195683874375	-1.65777434955105	0.54437955528346	-3.04525460859353	0.00232483407914504	0.0188544043818662	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Halomonadaceae"	NA	NA	NA
"239572"	13.3357094387519	-1.64260434995687	0.529544009822811	-3.1019222566723	0.00192268445095696	0.0163312182182448	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"748706"	1741.7089720245	3.43397178822845	0.46226023679635	7.42865493261384	1.09707529091868e-13	8.89728060935051e-11	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	NA	NA
"234301"	14.8982044564669	-1.85861778993879	0.672008715019267	-2.76576441406047	0.00567895448621812	0.0354279391409453	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Methylophaga"	NA	NA
"712180"	5.80667180252891	1.51613386174502	0.560882190097235	2.70312355876763	0.006869120653917	0.0415083812516944	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	NA	NA
"1131479"	15.411133027676	1.56894410030138	0.497349250052269	3.15461237779386	0.00160711471373078	0.0150340822523152	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"3664781"	72.1475056103528	1.95867124009458	0.474370158853953	4.12899336844164	3.64354910970297e-05	0.00103650004848361	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	NA	NA
"540617"	12.4399901175467	-2.37416226340481	0.470484766632645	-5.04620432324977	4.50673450969629e-07	4.56870210920462e-05	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"808031"	13.4062524704717	-2.06170810714543	0.487690037593166	-4.22749686936464	2.36305461817269e-05	0.000798515539724187	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"809775"	148.517821607706	1.83834778564232	0.43694372040986	4.20728734565157	2.58454421598205e-05	0.000806178984292862	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"31197"	1.45312054538733	-1.72453700610239	0.602327534692903	-2.8631216518794	0.00419489470022543	0.0283504966823569	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	NA	NA	NA
"328931"	10.9873763900902	-1.87413065240267	0.563669013066084	-3.32487791409415	0.000884572603742053	0.0102484054519258	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA	NA
"543958"	172.02038119998	-2.12068736265108	0.603487568439883	-3.5140531032535	0.000441324577233973	0.00592253850097115	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"	NA	NA
"1101488"	31.2010194720278	-1.8231504106505	0.51262140646889	-3.55652414753605	0.000375793952828351	0.00550895863646783	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Ruegeria"	NA	NA
"239225"	36.5126549407504	1.43769822654884	0.435666667595193	3.29999592230613	0.000966862333079671	0.0106793751399705	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Colwelliaceae"	NA	NA	NA
"1107426"	3.4527667702742	1.36881263532361	0.465516779697773	2.94041524391941	0.00327772660308977	0.0239239792093868	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
"567703"	87.1365366218165	1.51326689935286	0.5013626591588	3.01830794876479	0.00254190458974514	0.0198219675219549	"Bacteria"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Arcobacter"	NA	NA
"1145241"	357.40592591821	1.86776501230791	0.443249123635327	4.21380418530635	2.51105009358353e-05	0.000806178984292862	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Oceanospirillaceae"	"Marinomonas"	NA	NA
"532994"	280.543975145712	-2.46443467481241	0.429482638782578	-5.73814737144709	9.57178104857771e-09	3.88135721519826e-06	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"935060"	2.38716431575183	-1.43010497745593	0.540062525929418	-2.64803593805142	0.00809609180830275	0.0465668826704506	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Vibrionales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	NA	NA
"818315"	12.602876714142	-1.69661242573901	0.55968039693955	-3.03139512303172	0.0024342646931797	0.0191668802540654	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Oceanospirillales"	"Alcanivoracaceae"	"Alcanivorax"	NA	NA
"1765229"	3.80934938617637	-1.34947164187387	0.507401056464438	-2.65957594033596	0.0078239089990897	0.045657112174436	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	NA	NA	NA
